Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:31:52.578,3.38,547.0,0.24,0.96,0.09,0.11,-0.1,0.29
2024-12-16 10:31:52.647,5.85,545.0,0.24,0.96,0.09,-0.01,0.14,0.29
2024-12-16 10:31:52.717,-0.45,535.0,0.25,0.96,0.1,0.11,-0.71,0.23
2024-12-16 10:31:52.806,4.5,519.0,0.22,0.95,0.1,0.23,-2.97,-2.03
2024-12-16 10:31:52.861,2.02,505.0,0.24,0.98,0.11,-0.01,-0.04,-7.09
2024-12-16 10:31:52.930,11.02,497.0,0.22,0.96,0.1,0.96,0.75,-4.22
2024-12-16 10:31:52.994,13.05,515.0,0.23,0.99,0.09,0.29,4.78,0.23
2024-12-16 10:31:53.56,12.15,548.0,0.26,0.98,0.1,-1.05,7.77,5.6
2024-12-16 10:31:53.188,16.2,540.0,0.3,0.97,0.07,-1.6,3.13,11.77
2024-12-16 10:31:53.292,17.1,574.0,0.27,0.95,0.13,-6.42,-0.89,12.62
2024-12-16 10:31:53.347,21.15,560.0,0.27,0.95,0.11,-5.08,-2.66,6.82
2024-12-16 10:31:53.395,27.9,555.0,0.27,0.95,0.12,-3.98,-3.09,6.09
2024-12-16 10:31:53.457,29.47,561.0,0.27,0.95,0.12,-2.46,-1.75,3.96
2024-12-16 10:31:53.512,32.4,580.0,0.27,0.93,0.12,-1.23,-2.48,1.45
2024-12-16 10:31:53.563,34.88,564.0,0.28,0.94,0.13,-1.66,-0.1,3.89
2024-12-16 10:31:53.611,36.45,569.0,0.29,0.93,0.12,-1.91,0.51,3.04
2024-12-16 10:31:53.659,33.97,555.0,0.29,0.94,0.14,-1.91,1.3,3.35
2024-12-16 10:31:54.931,36.67,562.0,0.31,0.93,0.13,0.05,1.55,1.27
2024-12-16 10:31:54.978,40.72,555.0,0.3,0.93,0.13,-0.07,1.49,1.33
2024-12-16 10:31:55.28,39.6,553.0,0.31,0.94,0.13,-0.26,1.12,1.45
2024-12-16 10:31:55.91,37.8,567.0,0.31,0.94,0.13,-0.26,0.88,0.9
2024-12-16 10:31:55.171,38.02,551.0,0.31,0.94,0.13,-0.2,0.75,1.09
2024-12-16 10:31:55.275,42.52,556.0,0.31,0.93,0.13,0.05,0.27,0.29
2024-12-16 10:31:55.317,43.88,552.0,0.31,0.93,0.14,0.17,-0.34,-0.19
2024-12-16 10:31:55.368,39.83,549.0,0.3,0.94,0.13,-0.07,0.27,-0.5
2024-12-16 10:31:55.410,39.38,542.0,0.3,0.93,0.13,-0.5,0.57,-0.62
2024-12-16 10:31:55.459,42.08,564.0,0.3,0.94,0.13,-0.75,0.75,-0.5
2024-12-16 10:31:55.506,43.42,550.0,0.31,0.94,0.13,-0.75,0.69,-0.38
2024-12-16 10:31:55.551,40.05,556.0,0.31,0.93,0.13,-0.14,0.88,-0.68
2024-12-16 10:31:55.608,45.0,541.0,0.3,0.95,0.14,0.54,0.33,-1.6
2024-12-16 10:31:55.661,40.27,550.0,0.31,0.94,0.14,0.84,-0.04,-2.03
2024-12-16 10:31:55.710,42.08,539.0,0.31,0.93,0.14,0.84,-0.71,-1.66
2024-12-16 10:31:55.760,39.38,557.0,0.3,0.94,0.14,0.35,-0.47,-0.62
2024-12-16 10:31:55.804,39.38,541.0,0.3,0.94,0.14,-0.44,-0.41,-0.01
2024-12-16 10:31:55.849,40.05,545.0,0.3,0.94,0.14,-0.56,-0.65,-0.13
2024-12-16 10:31:55.897,31.27,544.0,0.3,0.94,0.14,-0.2,-1.08,-0.19
2024-12-16 10:31:55.945,40.27,555.0,0.3,0.95,0.14,-0.01,-1.38,-0.62
2024-12-16 10:31:55.995,39.15,548.0,0.3,0.94,0.14,0.11,-0.89,-0.5
2024-12-16 10:31:56.8,41.85,535.0,0.3,0.94,0.13,0.05,-0.83,-0.5
2024-12-16 10:31:56.56,38.25,554.0,0.3,0.94,0.14,0.05,-0.77,-0.32
2024-12-16 10:31:57.24,37.8,546.0,0.3,0.94,0.13,0.35,-0.34,0.78
2024-12-16 10:31:57.88,36.9,560.0,0.3,0.95,0.14,0.23,-0.28,1.09
2024-12-16 10:31:57.138,33.75,675.0,0.37,0.94,0.17,-1.05,19.37,32.15
2024-12-16 10:31:57.187,28.12,702.0,0.29,0.82,0.11,-4.9,11.37,25.26
2024-12-16 10:31:57.284,22.95,699.0,0.25,0.89,0.17,-6.97,-0.34,10.18
2024-12-16 10:31:57.353,21.82,673.0,0.47,0.87,0.2,0.47,5.51,5.66
2024-12-16 10:31:57.496,20.48,655.0,0.39,0.88,0.15,0.6,-10.54,-1.54
2024-12-16 10:31:57.543,16.2,560.0,0.34,0.87,0.16,-1.72,-10.11,-11.06
2024-12-16 10:31:57.589,11.92,543.0,0.33,0.93,0.14,-0.14,-8.28,-16.0
2024-12-16 10:31:57.645,6.75,530.0,0.32,0.95,0.12,-0.75,-7.97,-17.65
2024-12-16 10:31:57.711,9.22,532.0,0.3,0.94,0.17,-3.49,-10.66,-17.28
2024-12-16 10:31:57.770,8.1,592.0,0.3,0.96,0.13,0.84,-8.04,-16.19
2024-12-16 10:31:59.49,-5.85,525.0,0.25,0.95,0.13,-0.14,-0.16,0.54
2024-12-16 10:31:59.123,-1.57,520.0,0.25,0.95,0.13,-0.2,0.33,1.15
2024-12-16 10:31:59.181,3.38,519.0,0.25,0.96,0.13,-0.01,0.63,1.39
2024-12-16 10:31:59.347,3.15,511.0,0.26,0.95,0.14,-0.01,0.39,1.27
2024-12-16 10:31:59.415,2.7,538.0,0.26,0.95,0.13,-0.07,0.39,0.66
2024-12-16 10:31:59.473,-0.45,529.0,0.26,0.95,0.13,-0.32,0.69,0.78
2024-12-16 10:31:59.609,2.7,556.0,0.26,0.95,0.14,-0.2,0.39,0.72
2024-12-16 10:31:59.845,1.12,524.0,0.26,0.95,0.14,0.23,0.2,0.54
2024-12-16 10:31:59.914,4.28,531.0,0.26,0.95,0.14,0.35,0.39,0.6
2024-12-16 10:31:59.968,3.15,523.0,0.27,0.95,0.13,0.29,0.39,0.6
2024-12-16 10:32:00.175,-0.67,538.0,0.26,0.95,0.14,0.17,0.02,0.42
2024-12-16 10:32:00.193,-0.22,518.0,0.26,0.95,0.13,0.17,0.14,0.23
2024-12-16 10:32:01.63,4.72,529.0,0.26,0.95,0.14,0.23,0.08,-0.26
2024-12-16 10:32:01.114,2.02,537.0,0.26,0.95,0.14,0.23,-0.77,-0.62
2024-12-16 10:32:01.173,1.35,522.0,0.26,0.95,0.14,0.05,0.33,-0.01
2024-12-16 10:32:01.223,-0.22,492.0,0.24,0.94,0.14,0.41,-1.75,-4.53
2024-12-16 10:32:01.369,1.8,503.0,0.25,0.98,0.11,0.41,-0.71,-5.99
2024-12-16 10:32:01.424,9.68,510.0,0.25,0.97,0.12,1.33,3.62,-2.94
2024-12-16 10:32:01.484,12.6,538.0,0.29,1.01,0.14,2.43,9.85,8.29
2024-12-16 10:32:01.547,14.85,544.0,0.28,0.95,0.13,-0.14,8.87,16.22
2024-12-16 10:32:01.607,19.35,554.0,0.29,0.94,0.16,-1.42,1.85,15.0
2024-12-16 10:32:01.664,20.92,558.0,0.26,0.93,0.17,-1.78,0.08,12.07
2024-12-16 10:32:01.711,25.42,539.0,0.26,0.91,0.16,-1.91,-1.38,7.56
2024-12-16 10:32:01.778,24.75,551.0,0.27,0.92,0.15,-2.58,-2.97,4.69
2024-12-16 10:32:01.839,29.47,539.0,0.27,0.93,0.14,-2.7,-2.79,-0.26
2024-12-16 10:32:01.898,31.05,539.0,0.3,0.95,0.15,-1.6,-0.59,-2.82
2024-12-16 10:32:01.946,28.8,535.0,0.3,0.94,0.13,-0.56,0.39,-3.06
2024-12-16 10:32:02.9,26.55,536.0,0.29,0.94,0.14,0.05,-0.47,-3.12
2024-12-16 10:32:02.66,33.52,525.0,0.27,0.94,0.15,0.66,0.81,-1.66
2024-12-16 10:32:02.112,36.45,532.0,0.3,0.95,0.13,0.66,-0.41,-2.03
2024-12-16 10:32:03.386,39.83,533.0,0.3,0.94,0.15,0.6,0.51,0.54
2024-12-16 10:32:03.439,42.3,525.0,0.3,0.93,0.15,0.47,-0.41,0.11
2024-12-16 10:32:03.501,40.72,529.0,0.29,0.94,0.15,0.35,-0.53,-0.32
2024-12-16 10:32:03.553,39.83,531.0,0.29,0.94,0.15,0.23,-0.16,-0.5
2024-12-16 10:32:03.617,40.5,538.0,0.29,0.95,0.14,0.29,0.14,0.17
2024-12-16 10:32:03.745,37.58,535.0,0.29,0.94,0.15,0.54,0.33,0.35
2024-12-16 10:32:03.792,38.7,536.0,0.3,0.93,0.15,0.54,-0.1,-0.13
2024-12-16 10:32:03.855,39.83,550.0,0.29,0.94,0.15,0.41,-0.1,-0.87
2024-12-16 10:32:03.902,36.0,528.0,0.29,0.94,0.15,0.41,0.39,-1.11
2024-12-16 10:32:03.949,41.17,537.0,0.29,0.94,0.14,0.29,0.33,-0.99
2024-12-16 10:32:03.995,38.47,532.0,0.29,0.95,0.14,0.47,0.51,-0.56
2024-12-16 10:32:04.42,39.83,527.0,0.29,0.94,0.14,0.66,0.75,0.11
2024-12-16 10:32:04.96,42.97,526.0,0.29,0.95,0.15,0.54,0.81,0.23
2024-12-16 10:32:04.150,41.17,529.0,0.29,0.94,0.14,0.41,0.69,0.35
2024-12-16 10:32:04.198,40.05,525.0,0.29,0.94,0.14,0.41,0.57,0.29
2024-12-16 10:32:05.157,38.92,513.0,0.28,0.94,0.14,0.78,-0.59,-0.87
2024-12-16 10:32:05.227,38.25,579.0,0.33,1.01,0.11,0.9,7.53,6.09
2024-12-16 10:32:05.296,35.55,664.0,0.26,0.78,0.12,-5.2,8.38,17.69
2024-12-16 10:32:05.371,28.8,619.0,0.25,0.84,0.19,-2.33,-6.27,-0.44
2024-12-16 10:32:05.444,24.52,603.0,0.29,0.94,0.19,9.02,-0.28,-10.2
2024-12-16 10:32:05.490,18.9,596.0,0.27,0.97,0.09,4.44,-11.76,-20.46
2024-12-16 10:32:05.568,16.88,572.0,0.25,0.98,0.11,-1.91,-9.13,-16.55
