Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:37:00.199,18.23,538.0,0.27,0.92,0.2,2.61,16.38,13.54
2024-12-16 10:37:00.257,18.9,589.0,0.37,0.99,0.15,0.72,15.71,39.72
2024-12-16 10:37:00.301,10.57,594.0,0.31,0.95,0.19,-2.15,3.62,39.3
2024-12-16 10:37:00.351,4.5,623.0,0.28,0.92,0.3,-5.87,-1.2,28.43
2024-12-16 10:37:00.410,5.85,595.0,0.21,0.85,0.31,-3.68,-0.34,16.04
2024-12-16 10:37:01.681,-0.22,570.0,0.2,0.95,0.22,-2.09,-7.67,1.82
2024-12-16 10:37:01.737,1.35,558.0,0.2,0.95,0.22,-1.17,-3.95,1.82
2024-12-16 10:37:01.810,-1.12,547.0,0.21,0.94,0.23,-0.99,-4.43,2.19
2024-12-16 10:37:01.924,4.28,556.0,0.24,0.95,0.23,3.47,3.56,10.91
2024-12-16 10:37:01.971,-1.12,542.0,0.26,0.94,0.2,-0.26,-1.44,11.28
2024-12-16 10:37:02.15,0.9,537.0,0.28,0.94,0.24,-1.48,3.2,12.56
2024-12-16 10:37:02.62,2.47,538.0,0.29,0.92,0.27,2.49,5.27,9.94
2024-12-16 10:37:02.112,-1.12,552.0,0.27,0.92,0.21,2.37,5.51,7.56
2024-12-16 10:37:02.157,5.62,554.0,0.27,0.93,0.22,0.72,3.13,5.6
2024-12-16 10:37:02.228,-2.02,571.0,0.28,0.94,0.24,1.15,2.4,1.15
2024-12-16 10:37:02.282,-2.92,538.0,0.3,0.94,0.23,4.26,2.04,-3.49
2024-12-16 10:37:02.333,-2.25,539.0,0.3,0.93,0.23,4.14,-0.47,-3.37
2024-12-16 10:37:02.396,4.95,535.0,0.28,0.93,0.23,2.98,2.89,1.09
2024-12-16 10:37:02.452,2.25,532.0,0.3,0.92,0.22,1.7,1.67,2.43
2024-12-16 10:37:02.497,0.22,547.0,0.29,0.91,0.23,0.72,2.46,2.55
2024-12-16 10:37:02.546,-1.57,553.0,0.29,0.92,0.22,1.51,2.28,1.7
2024-12-16 10:37:02.595,-2.25,536.0,0.3,0.93,0.23,1.33,0.63,0.78
2024-12-16 10:37:02.687,2.02,533.0,0.29,0.93,0.22,2.0,1.97,0.72
2024-12-16 10:37:02.783,5.17,538.0,0.24,0.91,0.24,0.84,0.94,-8.8
2024-12-16 10:37:02.856,4.28,525.0,0.23,0.92,0.24,4.2,2.65,-16.31
2024-12-16 10:37:02.910,11.25,459.0,0.22,0.9,0.22,4.93,0.27,-21.5
2024-12-16 10:37:03.94,21.6,440.0,0.24,0.95,0.22,1.33,1.61,-14.05
2024-12-16 10:37:03.155,33.3,448.0,0.19,0.98,0.22,-0.87,-2.36,-6.3
2024-12-16 10:37:03.211,38.25,452.0,0.23,0.98,0.18,-1.23,-3.7,-4.77
2024-12-16 10:37:03.264,45.45,457.0,0.18,0.97,0.21,-2.58,-4.13,-4.22
2024-12-16 10:37:03.330,51.97,460.0,0.17,0.96,0.22,-4.77,-1.5,-3.25
