Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:39:07.561,0.45,544.0,0.24,0.96,0.05,0.07,0.18,0.56
2024-12-16 10:39:07.619,-3.82,524.0,0.17,0.93,0.07,-0.17,-5.98,-6.64
2024-12-16 10:39:07.777,-0.22,539.0,0.25,0.97,0.05,-0.29,-7.75,-8.05
2024-12-16 10:39:07.889,12.15,524.0,0.19,0.99,0.06,-1.45,10.99,-0.6
2024-12-16 10:39:07.949,13.72,531.0,0.22,0.97,0.07,-0.35,4.64,4.1
2024-12-16 10:39:08.17,23.85,513.0,0.2,0.96,0.07,1.84,4.7,5.14
2024-12-16 10:39:08.64,27.22,535.0,0.19,0.96,0.09,0.87,1.83,2.33
2024-12-16 10:39:08.116,27.9,518.0,0.17,0.96,0.06,1.48,-0.12,-1.94
2024-12-16 10:39:08.172,30.82,521.0,0.2,1.0,0.06,0.69,3.11,-0.72
2024-12-16 10:39:08.225,34.88,519.0,0.19,1.0,0.06,-1.57,5.98,3.85
2024-12-16 10:39:08.290,33.08,520.0,0.16,0.95,0.07,-2.31,4.7,4.34
2024-12-16 10:39:08.347,37.8,522.0,0.18,0.96,0.06,-2.73,7.69,7.46
2024-12-16 10:39:08.397,44.32,526.0,0.19,0.95,0.08,-2.12,7.57,8.43
2024-12-16 10:39:08.480,46.8,522.0,0.23,0.97,0.09,-2.18,8.49,8.62
2024-12-16 10:39:08.536,50.4,528.0,0.25,0.95,0.09,-1.21,5.98,9.71
2024-12-16 10:39:08.586,54.45,538.0,0.26,0.96,0.09,-0.96,6.35,10.14
2024-12-16 10:39:08.645,59.17,529.0,0.24,0.93,0.1,0.2,5.56,10.32
2024-12-16 10:39:08.705,60.3,504.0,0.29,0.99,0.11,-1.63,5.07,10.45
2024-12-16 10:39:08.766,66.82,511.0,0.27,0.95,0.1,-1.88,0.49,10.57
2024-12-16 10:39:08.829,67.72,539.0,0.3,0.96,0.12,-4.44,0.25,11.12
2024-12-16 10:39:08.895,73.8,503.0,0.3,0.92,0.1,-3.16,-1.89,10.87
2024-12-16 10:39:08.948,75.82,509.0,0.31,0.98,0.11,-4.32,-0.79,10.75
2024-12-16 10:39:09.0,80.78,494.0,0.3,0.96,0.1,-3.59,-0.43,12.64
2024-12-16 10:39:09.67,83.92,500.0,0.33,0.89,0.11,-1.82,-2.38,8.07
2024-12-16 10:39:10.442,89.1,525.0,0.35,0.92,0.11,-0.78,-1.16,1.96
2024-12-16 10:39:10.605,90.0,502.0,0.36,0.92,0.11,-0.29,0.55,0.56
2024-12-16 10:39:10.758,90.9,507.0,0.36,0.92,0.12,-0.66,0.61,0.99
