Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-16 10:45:29.774,-2.02,538.0,0.3,0.94,0.05,1.17,2.99,3.12
2024-12-16 10:45:31.85,-2.25,540.0,0.37,0.91,0.07,-1.88,-4.33,-0.54
2024-12-16 10:45:31.132,0.45,542.0,0.36,0.92,0.07,-2.67,-4.45,-0.42
2024-12-16 10:45:31.184,1.57,558.0,0.37,0.92,0.06,-2.37,-2.2,0.44
2024-12-16 10:45:31.245,-0.67,543.0,0.38,0.92,0.08,-2.43,-4.27,-0.11
2024-12-16 10:45:31.303,-6.97,561.0,0.37,0.91,0.07,-2.24,-6.28,-0.3
2024-12-16 10:45:31.360,1.35,556.0,0.37,0.93,0.07,-2.06,-7.2,0.74
2024-12-16 10:45:31.412,-5.62,548.0,0.36,0.92,0.07,-2.85,-6.1,2.88
2024-12-16 10:45:31.474,-2.92,542.0,0.38,0.92,0.07,-3.22,-4.76,4.4
2024-12-16 10:45:31.522,-4.28,553.0,0.38,0.92,0.07,-2.37,-6.83,5.01
2024-12-16 10:45:31.576,-3.15,548.0,0.37,0.92,0.07,-1.63,-6.04,5.01
2024-12-16 10:45:31.636,-3.15,545.0,0.37,0.93,0.07,-1.15,-2.62,5.62
2024-12-16 10:45:31.695,-2.02,543.0,0.38,0.92,0.08,-0.54,-0.91,5.2
2024-12-16 10:45:31.741,-1.57,537.0,0.39,0.91,0.08,0.14,-1.34,4.47
2024-12-16 10:45:31.790,-2.25,522.0,0.39,0.9,0.08,0.26,-1.65,3.43
2024-12-16 10:45:31.848,-6.97,552.0,0.39,0.9,0.09,-0.05,-3.05,2.63
2024-12-16 10:45:31.894,-1.57,548.0,0.38,0.91,0.09,-0.72,-2.68,1.9
2024-12-16 10:45:31.945,-1.8,544.0,0.39,0.91,0.08,-1.51,-2.68,0.86
2024-12-16 10:45:31.995,-4.05,555.0,0.4,0.91,0.08,-1.27,-4.09,0.07
2024-12-16 10:45:32.114,-3.38,547.0,0.39,0.9,0.08,-0.78,-6.16,-0.42
2024-12-16 10:45:32.291,0.45,558.0,0.38,0.91,0.07,-1.02,-5.92,2.51
2024-12-16 10:45:32.337,0.22,561.0,0.38,0.92,0.08,-0.17,-2.5,3.12
