Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 12:40:14.13,-3.38,443.0,0.88,0.46,-0.03,0.16,0.31,-0.91
2024-12-06 12:40:14.64,-1.35,444.0,0.89,0.46,-0.03,0.16,0.62,-0.78
2024-12-06 12:40:14.72,1.8,445.0,0.93,0.47,-0.01,-0.21,1.04,2.39
2024-12-06 12:40:14.94,-0.45,443.0,0.83,0.45,-0.03,0.1,-0.85,0.44
2024-12-06 12:40:14.121,-1.12,444.0,0.88,0.47,-0.01,0.28,-0.36,-2.8
2024-12-06 12:40:14.200,-0.22,452.0,0.87,0.46,-0.03,0.59,0.43,-0.66
2024-12-06 12:40:14.206,3.82,449.0,0.89,0.46,-0.01,1.26,0.37,-1.64
2024-12-06 12:40:14.231,0.9,439.0,0.86,0.45,-0.02,1.44,-1.09,-3.22
2024-12-06 12:40:14.260,4.5,460.0,0.78,0.45,-0.04,2.17,-2.5,-13.48
2024-12-06 12:40:14.293,2.7,461.0,0.84,0.48,0.0,1.2,-2.74,-15.07
2024-12-06 12:40:14.383,3.82,454.0,0.91,0.51,-0.04,-0.15,1.71,-10.06
2024-12-06 12:40:14.416,8.77,469.0,0.89,0.51,-0.04,-0.02,-0.24,-9.08
2024-12-06 12:40:14.426,14.17,456.0,0.9,0.52,-0.04,0.4,-1.22,-8.29
2024-12-06 12:40:14.452,11.92,471.0,0.88,0.51,-0.04,1.44,-0.36,-5.6
2024-12-06 12:40:14.482,7.88,444.0,0.83,0.49,-0.03,1.99,0.8,-6.09
2024-12-06 12:40:14.525,14.4,488.0,0.83,0.5,-0.02,1.2,0.37,-7.56
2024-12-06 12:40:14.537,12.6,478.0,0.79,0.48,-0.01,-0.45,-0.73,-12.01
2024-12-06 12:40:14.565,15.97,474.0,0.78,0.5,-0.02,-0.63,-0.61,-15.37
2024-12-06 12:40:14.593,13.72,476.0,0.79,0.52,-0.02,-0.51,1.59,-17.51
2024-12-06 12:40:14.646,16.88,493.0,0.79,0.53,-0.04,-0.39,2.51,-19.15
2024-12-06 12:40:14.649,16.42,501.0,0.84,0.56,-0.04,0.28,3.48,-19.09
2024-12-06 12:40:14.671,22.05,482.0,0.86,0.57,-0.03,0.16,3.06,-16.96
2024-12-06 12:40:14.701,19.12,496.0,0.85,0.56,-0.03,0.04,1.29,-16.84
2024-12-06 12:40:14.746,17.1,475.0,0.85,0.57,-0.03,0.83,-0.12,-15.8
2024-12-06 12:40:14.759,23.85,480.0,0.83,0.59,-0.03,1.87,0.8,-13.97
2024-12-06 12:40:14.783,22.05,499.0,0.83,0.6,-0.03,2.66,2.32,-10.67
2024-12-06 12:40:14.811,26.32,485.0,0.82,0.59,-0.03,2.85,3.48,-8.53
2024-12-06 12:40:14.860,27.0,491.0,0.83,0.59,-0.03,2.6,2.2,-7.25
2024-12-06 12:40:14.870,24.3,500.0,0.83,0.6,-0.03,2.72,1.04,-6.34
2024-12-06 12:40:14.893,24.97,498.0,0.81,0.59,-0.02,3.09,1.29,-5.6
2024-12-06 12:40:14.924,25.42,503.0,0.79,0.59,-0.03,3.52,1.65,-5.67
2024-12-06 12:40:14.970,27.22,505.0,0.8,0.59,-0.02,3.03,1.65,-5.3
2024-12-06 12:40:14.983,32.4,495.0,0.78,0.58,-0.02,2.3,1.23,-5.06
2024-12-06 12:40:15.3,32.4,493.0,0.77,0.58,-0.0,1.44,1.65,-6.46
2024-12-06 12:40:15.48,29.7,495.0,0.78,0.59,-0.01,1.08,1.77,-7.01
2024-12-06 12:40:15.77,33.97,506.0,0.79,0.59,-0.02,0.89,1.53,-7.8
2024-12-06 12:40:15.87,36.45,507.0,0.8,0.59,-0.01,-0.39,0.13,-7.8
2024-12-06 12:40:15.114,32.4,494.0,0.77,0.59,-0.02,-1.98,-1.28,-8.84
2024-12-06 12:40:15.143,34.65,488.0,0.79,0.6,-0.02,-2.28,-2.31,-9.27
2024-12-06 12:40:15.192,39.38,495.0,0.77,0.59,-0.03,-1.98,-1.95,-8.78
2024-12-06 12:40:15.207,37.58,496.0,0.77,0.6,-0.02,-2.34,-1.52,-9.63
2024-12-06 12:40:15.227,40.27,531.0,0.79,0.61,-0.01,-2.65,-2.92,-9.02
2024-12-06 12:40:15.253,39.6,505.0,0.79,0.62,-0.03,-2.77,-2.01,-8.72
2024-12-06 12:40:15.301,40.72,488.0,0.8,0.64,-0.01,-2.4,-2.13,-6.95
2024-12-06 12:40:15.312,46.12,504.0,0.78,0.62,-0.02,-3.01,-1.89,-6.46
2024-12-06 12:40:15.428,43.2,515.0,0.78,0.62,-0.02,-3.26,-2.38,-6.09
2024-12-06 12:40:15.431,45.45,494.0,0.81,0.65,-0.03,-1.92,-2.62,-4.14
2024-12-06 12:40:15.447,51.3,492.0,0.78,0.64,-0.01,-2.95,-5.73,-3.71
2024-12-06 12:40:15.472,49.27,489.0,0.77,0.66,-0.02,-3.56,-5.0,-2.31
2024-12-06 12:40:15.500,47.47,505.0,0.74,0.64,-0.01,-2.59,-3.05,-1.7
2024-12-06 12:40:15.548,49.5,488.0,0.76,0.64,-0.02,-3.32,-2.19,-0.6
