Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 12:43:41.302,53.32,479.0,0.76,0.63,-0.03,-1.0,0.68,-2.06
2024-12-06 12:43:41.337,46.57,472.0,0.77,0.63,-0.04,-1.49,1.23,-3.1
2024-12-06 12:43:41.359,44.77,476.0,0.86,0.77,-0.02,-1.98,3.42,4.34
2024-12-06 12:43:41.384,42.97,495.0,0.81,0.7,-0.07,-3.2,3.48,14.66
2024-12-06 12:43:41.419,45.0,478.0,0.77,0.59,-0.08,-6.13,-1.64,13.8
2024-12-06 12:43:41.441,40.72,480.0,0.75,0.57,-0.05,-5.27,-6.1,10.63
2024-12-06 12:43:41.468,39.38,481.0,0.77,0.59,-0.03,-0.63,-0.73,11.36
2024-12-06 12:43:41.495,35.77,483.0,0.78,0.58,-0.03,3.33,2.87,11.42
2024-12-06 12:43:41.529,35.77,491.0,0.83,0.59,-0.04,4.01,0.49,10.08
2024-12-06 12:43:41.564,35.1,487.0,0.84,0.59,-0.03,3.52,-2.62,10.14
2024-12-06 12:43:41.580,36.67,485.0,0.81,0.59,-0.03,2.78,-4.15,10.75
2024-12-06 12:43:41.606,33.3,471.0,0.79,0.58,-0.01,1.14,-0.79,12.64
2024-12-06 12:43:41.642,37.8,489.0,0.79,0.57,-0.02,0.04,1.1,14.23
2024-12-06 12:43:41.679,33.52,489.0,0.81,0.54,-0.03,-0.51,2.26,13.01
2024-12-06 12:43:41.689,34.2,485.0,0.86,0.56,-0.05,0.77,0.0,14.54
2024-12-06 12:43:41.717,31.5,474.0,0.88,0.54,-0.07,2.54,0.13,17.89
2024-12-06 12:43:41.744,31.72,476.0,0.87,0.55,-0.06,3.94,0.98,18.57
2024-12-06 12:43:41.780,31.27,460.0,0.88,0.53,-0.05,3.88,2.26,20.64
2024-12-06 12:43:41.801,24.52,465.0,0.87,0.54,-0.02,3.82,1.23,20.88
2024-12-06 12:43:41.830,21.6,468.0,0.86,0.52,-0.03,4.01,0.31,20.52
2024-12-06 12:43:41.873,22.72,487.0,0.82,0.49,-0.03,3.94,-0.91,19.6
2024-12-06 12:43:41.886,23.85,471.0,0.81,0.49,-0.04,4.37,0.0,16.37
2024-12-06 12:43:41.912,21.82,476.0,0.85,0.5,-0.05,5.16,1.35,18.38
2024-12-06 12:43:42.18,23.85,478.0,0.84,0.47,-0.03,2.91,2.39,14.84
2024-12-06 12:43:42.21,15.3,476.0,0.82,0.43,-0.03,2.42,0.74,9.47
2024-12-06 12:43:42.49,15.52,480.0,0.81,0.41,-0.03,1.75,-0.85,4.53
2024-12-06 12:43:42.93,14.85,485.0,0.85,0.43,-0.02,1.87,0.68,3.92
2024-12-06 12:43:42.104,19.35,467.0,0.82,0.43,-0.04,1.26,2.93,2.33
2024-12-06 12:43:42.132,16.65,474.0,0.83,0.43,-0.05,-0.21,3.54,0.07
2024-12-06 12:43:42.160,13.95,469.0,0.86,0.44,-0.05,-1.3,2.26,-0.6
2024-12-06 12:43:42.210,15.75,489.0,0.87,0.47,-0.03,-1.43,1.23,1.96
2024-12-06 12:43:42.215,11.7,495.0,0.85,0.44,-0.04,-1.18,0.74,3.12
2024-12-06 12:43:42.242,8.55,470.0,0.82,0.48,-0.02,-0.45,-0.73,7.95
2024-12-06 12:43:42.280,14.4,466.0,1.03,0.26,-0.12,-2.46,6.72,-1.58
2024-12-06 12:43:42.315,7.42,451.0,0.96,0.46,-0.0,-1.55,3.67,3.92
2024-12-06 12:43:42.332,10.35,469.0,0.97,0.44,-0.05,-3.69,0.86,4.95
2024-12-06 12:43:42.360,8.32,466.0,0.94,0.43,-0.05,-2.16,-0.67,7.15
2024-12-06 12:43:42.383,6.3,482.0,0.91,0.44,-0.04,-0.88,0.98,7.27
2024-12-06 12:43:42.449,4.72,485.0,0.9,0.42,-0.02,0.4,0.62,8.49
2024-12-06 12:43:42.452,2.02,470.0,0.88,0.4,-0.02,0.04,-0.3,7.4
2024-12-06 12:43:42.468,0.9,468.0,0.9,0.42,-0.0,-1.0,-0.36,6.85
2024-12-06 12:43:43.820,2.02,476.0,0.88,0.41,-0.02,-1.24,-0.85,-2.19
