Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 12:26:16.525,-1.35,449.0,0.24,0.96,-0.01,0.21,0.68,0.21
2024-12-06 12:26:16.537,0.45,465.0,0.24,0.96,-0.01,0.15,-0.23,0.09
2024-12-06 12:26:16.558,0.22,451.0,0.24,0.96,-0.01,0.03,-0.35,0.09
2024-12-06 12:26:16.589,-3.38,464.0,0.24,0.96,-0.01,0.09,0.07,0.03
2024-12-06 12:26:16.613,3.38,453.0,0.24,0.96,-0.01,0.03,0.5,0.09
2024-12-06 12:26:16.650,1.35,467.0,0.24,0.96,-0.01,-0.1,0.13,0.21
2024-12-06 12:26:16.690,-2.02,454.0,0.25,0.96,-0.01,-0.16,-0.23,-0.34
2024-12-06 12:26:16.695,-1.12,458.0,0.24,0.96,-0.01,0.03,-0.42,0.03
2024-12-06 12:26:16.723,-2.25,450.0,0.21,0.95,0.0,-0.46,-2.67,-2.23
2024-12-06 12:26:16.750,-0.45,463.0,0.16,0.92,-0.02,0.58,-7.86,-8.76
2024-12-06 12:26:16.795,4.5,467.0,0.23,0.94,-0.01,0.94,-8.9,-12.91
2024-12-06 12:26:16.807,5.4,458.0,0.25,0.99,-0.03,1.55,-5.85,-9.74
2024-12-06 12:26:16.835,5.85,459.0,0.2,0.98,-0.01,1.67,-1.64,-7.6
2024-12-06 12:26:16.865,11.7,469.0,0.21,0.97,0.0,-1.13,0.62,-5.47
2024-12-06 12:26:16.910,11.92,456.0,0.18,0.95,-0.01,-2.78,4.16,-6.38
2024-12-06 12:26:16.922,8.55,452.0,0.21,0.98,-0.01,-2.05,7.03,-4.25
2024-12-06 12:26:16.944,11.92,472.0,0.21,0.99,-0.04,-1.26,8.25,-3.39
2024-12-06 12:26:16.977,8.55,470.0,0.21,0.98,-0.04,-0.28,8.01,-2.23
2024-12-06 12:26:16.999,14.85,482.0,0.23,0.99,-0.04,0.94,7.82,-0.04
2024-12-06 12:26:17.27,10.8,477.0,0.22,0.98,-0.02,2.16,6.42,0.88
2024-12-06 12:26:17.78,12.82,457.0,0.24,0.98,-0.02,2.77,6.3,3.26
2024-12-06 12:26:17.89,17.55,479.0,0.21,0.97,-0.02,3.75,6.97,5.03
2024-12-06 12:26:17.109,17.1,479.0,0.22,0.97,-0.01,3.81,6.3,4.73
2024-12-06 12:26:17.137,14.62,458.0,0.21,0.96,-0.01,3.51,5.69,5.09
2024-12-06 12:26:17.165,18.23,488.0,0.2,0.95,0.0,2.83,4.53,3.2
2024-12-06 12:26:17.194,22.05,458.0,0.21,0.96,0.0,2.04,4.53,1.8
2024-12-06 12:26:17.220,17.32,465.0,0.2,0.96,-0.01,1.74,5.69,0.27
2024-12-06 12:26:17.305,20.48,459.0,0.21,0.97,-0.01,0.27,4.34,-0.52
2024-12-06 12:26:17.309,25.65,479.0,0.2,0.96,-0.02,-0.22,3.43,-1.68
2024-12-06 12:26:17.331,22.72,479.0,0.22,0.97,-0.01,-0.34,3.06,-2.23
2024-12-06 12:26:17.358,26.55,479.0,0.21,0.97,-0.02,-0.03,3.06,-2.72
2024-12-06 12:26:17.385,27.67,471.0,0.21,0.96,-0.01,-0.22,2.7,-3.27
2024-12-06 12:26:17.430,29.25,470.0,0.2,0.96,-0.02,-0.16,3.25,-3.7
2024-12-06 12:26:17.468,27.0,471.0,0.21,0.98,-0.02,-0.1,5.14,-2.78
2024-12-06 12:26:17.580,32.85,474.0,0.23,0.98,-0.02,1.25,6.48,1.43
2024-12-06 12:26:17.607,33.3,469.0,0.21,0.97,-0.01,1.49,5.63,-14.32
