Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 12:31:25.250,31.5,463.0,0.31,0.93,-0.1,0.22,-0.06,-0.91
2024-12-06 12:31:25.278,26.1,467.0,0.32,0.94,-0.09,0.04,0.55,-0.48
2024-12-06 12:31:25.306,23.17,455.0,0.46,1.05,-0.09,0.28,7.94,10.87
2024-12-06 12:31:25.333,23.4,457.0,0.37,0.97,-0.1,-0.45,10.87,20.7
2024-12-06 12:31:25.362,16.2,481.0,0.36,0.9,-0.08,-2.16,2.57,18.32
2024-12-06 12:31:25.524,21.6,462.0,0.34,0.85,-0.07,-1.79,-7.32,12.46
2024-12-06 12:31:25.530,17.55,454.0,0.29,0.91,-0.1,-2.53,0.0,-1.27
2024-12-06 12:31:25.555,9.9,449.0,0.34,0.91,-0.08,-2.95,1.77,-4.2
2024-12-06 12:31:25.583,10.8,468.0,0.39,0.93,-0.08,-2.59,1.35,-2.25
2024-12-06 12:31:25.609,11.02,477.0,0.37,0.91,-0.08,-3.14,-2.86,-2.68
2024-12-06 12:31:25.780,7.42,449.0,0.38,0.91,-0.09,-4.3,-7.2,-2.61
2024-12-06 12:31:25.801,10.35,454.0,0.34,0.93,-0.1,-2.95,-2.19,-2.86
2024-12-06 12:31:25.811,0.9,489.0,0.33,0.92,-0.1,-2.22,-0.79,-1.39
2024-12-06 12:31:27.111,1.57,459.0,0.36,0.9,-0.09,0.22,0.31,1.72
2024-12-06 12:31:27.119,-1.57,454.0,0.36,0.9,-0.09,0.22,0.13,1.6
2024-12-06 12:31:27.125,1.57,453.0,0.36,0.9,-0.09,0.28,-0.12,1.48
2024-12-06 12:31:27.134,-0.22,461.0,0.36,0.91,-0.09,0.28,-0.12,1.41
2024-12-06 12:31:27.156,2.02,460.0,0.36,0.91,-0.09,0.28,-0.61,1.29
2024-12-06 12:31:27.158,-5.17,479.0,0.36,0.91,-0.09,0.22,-0.91,1.35
2024-12-06 12:31:27.163,1.12,461.0,0.36,0.91,-0.09,0.04,-1.22,1.41
2024-12-06 12:31:27.171,1.57,474.0,0.36,0.92,-0.09,-0.15,-1.28,1.48
2024-12-06 12:31:27.182,-0.45,463.0,0.36,0.92,-0.09,-0.15,-1.28,1.48
2024-12-06 12:31:27.186,2.92,471.0,0.36,0.93,-0.09,-0.39,-1.34,1.48
2024-12-06 12:31:27.197,-0.67,452.0,0.35,0.93,-0.09,-0.51,-1.52,1.41
2024-12-06 12:31:27.203,-0.67,482.0,0.35,0.92,-0.09,-0.57,-1.58,1.29
2024-12-06 12:31:27.214,0.9,458.0,0.35,0.92,-0.09,-0.57,-1.58,1.11
2024-12-06 12:31:27.245,0.9,471.0,0.36,0.92,-0.09,-0.15,-1.95,1.05
2024-12-06 12:31:27.248,1.12,492.0,0.36,0.92,-0.09,-0.02,-1.89,1.05
2024-12-06 12:31:27.257,-2.02,512.0,0.36,0.92,-0.1,-0.02,-1.77,1.11
2024-12-06 12:31:27.264,-2.47,461.0,0.36,0.92,-0.1,-0.02,-1.77,1.11
2024-12-06 12:31:27.272,1.8,453.0,0.36,0.92,-0.1,0.04,-2.07,1.05
2024-12-06 12:31:27.279,2.02,450.0,0.35,0.92,-0.1,0.1,-2.19,0.99
2024-12-06 12:31:27.288,3.38,474.0,0.35,0.91,-0.1,0.1,-1.52,0.8
2024-12-06 12:31:27.297,-2.92,471.0,0.35,0.91,-0.1,0.16,-1.34,0.8
2024-12-06 12:31:27.308,-0.9,464.0,0.36,0.91,-0.1,0.16,-1.22,0.86
2024-12-06 12:31:27.310,-0.67,462.0,0.36,0.91,-0.09,0.16,-1.22,0.86
2024-12-06 12:31:27.319,2.7,472.0,0.36,0.91,-0.09,0.28,-0.91,0.86
2024-12-06 12:31:27.331,-2.02,461.0,0.36,0.91,-0.09,0.34,-0.61,0.8
2024-12-06 12:31:27.336,1.35,458.0,0.36,0.91,-0.09,0.4,-0.54,0.74
2024-12-06 12:31:27.342,1.12,474.0,0.36,0.91,-0.09,0.4,-0.42,0.68
2024-12-06 12:31:27.354,-4.28,461.0,0.36,0.91,-0.09,0.4,-0.42,0.5
2024-12-06 12:31:27.359,1.12,472.0,0.36,0.91,-0.09,0.4,-0.36,0.5
2024-12-06 12:31:27.369,-1.12,447.0,0.36,0.91,-0.09,0.34,-0.48,0.38
2024-12-06 12:31:27.374,0.9,455.0,0.36,0.91,-0.09,0.34,-0.54,0.25
2024-12-06 12:31:27.380,-4.05,460.0,0.36,0.91,-0.09,0.28,-0.42,0.25
2024-12-06 12:31:27.388,-0.22,458.0,0.36,0.92,-0.09,0.22,-0.18,0.32
