Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 13:16:32.481,-3.15,482.0,0.16,0.98,-0.01,0.71,0.25,4.13
2024-12-06 13:16:32.531,1.12,489.0,0.16,0.98,-0.02,0.46,1.72,4.74
2024-12-06 13:16:32.534,-2.47,498.0,0.16,0.97,-0.02,0.46,2.02,5.29
2024-12-06 13:16:32.562,3.15,478.0,0.16,0.97,-0.03,0.4,1.35,3.16
2024-12-06 13:16:32.589,-0.67,505.0,0.16,0.98,-0.02,0.53,2.21,4.44
2024-12-06 13:16:32.640,0.45,474.0,0.17,0.97,-0.02,0.46,1.9,4.38
2024-12-06 13:16:32.646,-0.45,491.0,0.17,0.97,-0.02,0.34,1.05,4.01
2024-12-06 13:16:32.671,2.02,488.0,0.16,0.97,-0.02,0.4,0.56,4.01
2024-12-06 13:16:32.699,1.12,481.0,0.13,0.97,-0.0,0.53,-0.66,2.73
2024-12-06 13:16:32.727,-0.9,482.0,0.07,0.94,-0.02,2.3,-5.36,-6.91
2024-12-06 13:16:32.760,2.02,503.0,0.13,0.96,0.01,0.83,-9.88,-13.81
2024-12-06 13:16:32.783,1.12,495.0,0.16,0.98,-0.02,-0.15,-6.28,-10.7
2024-12-06 13:16:32.814,8.55,508.0,0.14,0.99,-0.01,-0.7,-5.42,-7.46
2024-12-06 13:16:32.838,9.0,501.0,0.15,0.99,-0.02,-1.67,-2.98,-3.98
2024-12-06 13:16:32.872,11.92,501.0,0.13,0.98,-0.02,-1.73,-2.31,-2.09
2024-12-06 13:16:32.892,13.5,515.0,0.15,0.99,-0.02,-1.73,-1.76,-1.18
2024-12-06 13:16:32.924,13.72,496.0,0.14,1.0,-0.02,-1.18,-1.33,0.23
2024-12-06 13:16:32.949,13.05,503.0,0.12,0.99,-0.01,-0.57,-3.29,-0.14
2024-12-06 13:16:32.983,9.68,520.0,0.13,0.99,-0.02,-0.08,-4.75,-0.32
2024-12-06 13:16:33.3,10.57,502.0,0.09,0.98,-0.01,0.16,-6.52,-1.18
2024-12-06 13:16:33.35,14.17,500.0,0.1,0.98,-0.02,0.34,-7.19,-3.92
