Timestamp,PosIsDeg,ForceIs,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2024-12-06 13:22:47.806,31.72,526.0,0.09,0.98,-0.02,0.65,1.11,4.32
2024-12-06 13:22:47.808,26.55,519.0,0.11,0.99,-0.03,-0.02,4.22,6.15
2024-12-06 13:22:47.814,21.6,532.0,0.17,1.06,-0.03,-0.51,9.47,17.01
2024-12-06 13:22:47.842,20.48,522.0,0.12,1.02,-0.06,-0.7,13.86,20.67
2024-12-06 13:22:47.874,17.55,528.0,0.08,0.96,-0.08,1.99,12.89,20.98
2024-12-06 13:22:47.926,19.35,515.0,0.12,0.96,0.06,1.26,10.93,20.25
2024-12-06 13:22:47.960,14.62,521.0,0.13,0.97,-0.0,-0.51,1.66,12.56
2024-12-06 13:22:47.984,11.92,519.0,0.12,0.97,-0.0,0.46,1.23,8.22
2024-12-06 13:22:48.7,12.82,539.0,0.13,0.97,-0.0,1.75,1.9,2.55
2024-12-06 13:22:48.58,14.62,513.0,0.13,0.97,-0.02,2.48,2.21,-0.08
2024-12-06 13:22:48.73,13.27,515.0,0.16,0.99,-0.02,1.62,1.17,2.61
2024-12-06 13:22:48.91,11.25,513.0,0.14,0.99,-0.04,-0.08,-0.24,6.76
2024-12-06 13:22:48.120,8.55,512.0,0.13,0.99,-0.03,-0.76,1.84,9.57
2024-12-06 13:22:48.172,11.92,504.0,0.14,0.98,-0.02,0.1,8.8,11.15
2024-12-06 13:22:48.177,8.1,518.0,0.14,0.98,-0.01,0.46,12.09,10.97
2024-12-06 13:22:48.201,4.28,509.0,0.16,0.98,-0.01,0.53,12.52,10.85
2024-12-06 13:22:48.230,0.67,517.0,0.16,0.98,-0.01,0.59,10.02,10.42
2024-12-06 13:22:48.256,6.97,510.0,0.16,0.97,-0.01,0.77,7.21,8.28
2024-12-06 13:22:48.306,3.15,509.0,0.18,0.97,-0.03,1.62,6.78,7.73
2024-12-06 13:22:48.312,-0.9,499.0,0.15,0.97,-0.03,2.6,6.05,7.92
2024-12-06 13:22:49.638,2.7,522.0,0.15,0.96,-0.04,3.64,11.73,5.29
2024-12-06 13:22:49.644,-1.8,516.0,0.19,0.94,-0.06,4.74,12.22,6.21
2024-12-06 13:22:49.651,0.9,533.0,0.19,0.95,-0.06,4.98,12.4,6.21
2024-12-06 13:22:49.668,0.9,527.0,0.2,0.95,-0.05,5.47,12.34,5.66
2024-12-06 13:22:49.673,1.57,511.0,0.2,0.96,-0.04,5.47,12.34,5.66
2024-12-06 13:22:49.697,-4.95,517.0,0.2,0.98,-0.01,5.77,11.79,4.93
2024-12-06 13:22:49.711,0.0,520.0,0.21,0.99,0.01,5.04,11.85,4.5
2024-12-06 13:22:49.715,2.7,515.0,0.22,1.0,0.01,5.04,11.85,4.5
2024-12-06 13:22:49.725,0.67,523.0,0.23,1.0,0.0,4.68,12.09,4.74
2024-12-06 13:22:49.730,-2.7,514.0,0.23,1.0,-0.01,4.13,12.58,5.23
2024-12-06 13:22:49.734,3.82,511.0,0.24,1.0,-0.01,3.39,13.38,6.03
2024-12-06 13:22:49.768,0.9,527.0,0.24,1.0,-0.01,2.6,13.8,7.06
2024-12-06 13:22:49.784,2.92,514.0,0.26,0.95,-0.02,0.83,9.71,12.37
2024-12-06 13:22:49.791,0.67,536.0,0.25,0.94,-0.02,0.83,9.71,12.92
2024-12-06 13:22:49.797,0.0,532.0,0.24,0.93,-0.02,0.16,8.0,12.92
2024-12-06 13:22:49.802,1.12,539.0,0.24,0.92,-0.0,-0.57,5.68,12.98
2024-12-06 13:22:49.902,0.67,536.0,0.23,0.92,0.01,-1.49,2.21,12.49
2024-12-06 13:22:49.910,0.22,519.0,0.2,0.96,0.0,0.16,-22.09,3.89
2024-12-06 13:22:49.923,2.47,525.0,0.19,0.98,-0.01,-0.08,-21.84,2.55
2024-12-06 13:22:49.927,3.6,532.0,0.19,0.99,-0.02,-0.45,-20.87,1.63
2024-12-06 13:22:49.936,-1.12,506.0,0.18,0.99,-0.03,-0.63,-19.22,1.26
2024-12-06 13:22:49.949,-4.72,517.0,0.18,0.99,-0.06,-0.82,-16.65,1.14
2024-12-06 13:22:49.952,-2.47,516.0,0.17,0.97,-0.04,-0.94,-13.3,1.14
2024-12-06 13:22:49.960,-4.72,509.0,0.15,0.95,-0.04,-0.94,-13.3,1.14
2024-12-06 13:22:49.991,-3.38,532.0,0.14,0.92,-0.05,-1.67,-1.76,2.12
2024-12-06 13:22:49.996,2.47,515.0,0.14,0.94,-0.06,-1.67,-1.76,2.12
2024-12-06 13:22:50.3,0.67,522.0,0.15,0.95,-0.06,-1.98,0.8,2.42
2024-12-06 13:22:50.8,3.15,516.0,0.15,0.97,-0.06,-2.34,3.18,2.85
2024-12-06 13:22:50.16,0.0,517.0,0.15,0.97,-0.06,-2.65,5.07,3.52
2024-12-06 13:22:50.24,-1.35,516.0,0.15,0.97,-0.06,-2.95,7.09,4.19
2024-12-06 13:22:50.32,2.25,515.0,0.14,0.97,-0.06,-3.26,9.16,4.8
2024-12-06 13:22:50.40,1.35,509.0,0.14,0.97,-0.05,-3.26,9.16,4.8
2024-12-06 13:22:50.53,0.9,516.0,0.16,0.97,-0.05,-3.44,10.93,5.72
2024-12-06 13:22:50.56,-2.02,530.0,0.18,0.98,-0.05,-3.5,11.3,6.94
2024-12-06 13:22:50.89,0.9,559.0,0.2,1.0,-0.03,-3.69,11.24,8.28
2024-12-06 13:22:50.94,-4.95,540.0,0.21,0.99,-0.04,-3.75,9.9,8.53
2024-12-06 13:22:50.101,0.45,510.0,0.23,0.97,-0.03,-3.87,7.58,8.47
2024-12-06 13:22:50.109,1.57,528.0,0.23,0.97,-0.02,-3.99,4.04,8.89
2024-12-06 13:22:50.118,0.22,524.0,0.25,0.96,-0.02,-4.11,1.72,9.02
2024-12-06 13:22:50.128,1.12,514.0,0.26,0.94,-0.02,-4.11,1.72,9.02
2024-12-06 13:22:50.134,2.7,528.0,0.27,0.94,-0.02,-3.93,-0.97,9.14
2024-12-06 13:22:50.144,3.15,538.0,0.28,0.95,-0.03,-3.56,-2.74,9.38
2024-12-06 13:22:50.150,1.12,517.0,0.28,0.98,-0.04,-2.65,-3.53,9.93
2024-12-06 13:22:50.164,-2.7,553.0,0.28,0.98,-0.03,-1.49,-4.33,10.36
2024-12-06 13:22:50.167,0.67,525.0,0.27,0.98,-0.03,-0.27,-5.36,10.3
2024-12-06 13:22:50.172,2.92,511.0,0.25,0.97,-0.0,-0.27,-5.36,10.3
2024-12-06 13:22:50.210,2.25,517.0,0.24,0.96,0.0,0.95,-6.71,9.81
2024-12-06 13:22:50.213,0.67,512.0,0.24,0.94,-0.03,2.91,-7.38,6.64
2024-12-06 13:22:50.219,0.45,526.0,0.23,0.95,-0.03,3.39,-7.5,6.39
2024-12-06 13:22:50.225,0.0,521.0,0.23,0.97,-0.03,3.58,-7.56,6.45
2024-12-06 13:22:50.233,-2.25,515.0,0.22,0.98,-0.02,3.27,-6.28,6.82
2024-12-06 13:22:50.241,-3.15,510.0,0.22,0.98,-0.02,2.97,-6.1,7.49
2024-12-06 13:22:50.255,-1.8,525.0,0.21,0.98,-0.01,2.6,-6.95,8.04
2024-12-06 13:22:50.258,-2.47,530.0,0.19,0.98,-0.01,2.6,-6.95,8.04
2024-12-06 13:22:50.265,-0.67,511.0,0.19,0.98,-0.01,2.17,-7.01,8.34
2024-12-06 13:22:50.275,-7.88,513.0,0.19,0.98,-0.02,1.81,-5.97,8.65
2024-12-06 13:22:50.280,-4.28,517.0,0.19,0.97,-0.03,1.26,-4.94,8.89
2024-12-06 13:22:50.293,-0.67,518.0,0.19,0.97,-0.03,0.77,-3.29,9.02
2024-12-06 13:22:50.319,-1.12,532.0,0.2,0.96,-0.02,-0.15,1.11,9.08
2024-12-06 13:22:50.323,2.47,529.0,0.21,0.96,-0.01,-0.7,3.37,9.5
2024-12-06 13:22:50.326,2.47,530.0,0.21,0.96,-0.01,-1.06,5.62,10.05
2024-12-06 13:22:50.333,1.57,515.0,0.21,0.96,-0.0,-1.06,6.36,10.54
2024-12-06 13:22:50.343,1.57,515.0,0.21,0.95,0.01,-1.18,6.36,10.54
2024-12-06 13:22:50.352,1.35,512.0,0.21,0.95,0.01,-1.06,6.3,10.66
2024-12-06 13:22:50.358,-1.8,529.0,0.22,0.95,-0.01,-1.18,6.05,10.48
2024-12-06 13:22:50.367,-3.15,522.0,0.23,0.95,-0.02,-1.49,5.99,9.93
2024-12-06 13:22:50.378,-2.92,516.0,0.23,0.95,-0.02,-1.85,5.75,9.26
2024-12-06 13:22:50.382,0.9,518.0,0.24,0.95,-0.02,-2.28,4.16,8.77
2024-12-06 13:22:50.391,-1.12,512.0,0.26,0.96,-0.01,-2.28,4.16,8.77
2024-12-06 13:22:50.402,-1.35,511.0,0.27,0.97,-0.01,-2.65,2.45,8.47
2024-12-06 13:22:50.433,-0.45,516.0,0.26,0.97,-0.0,-3.87,-2.37,7.49
2024-12-06 13:22:50.435,3.38,524.0,0.25,0.97,-0.0,-3.99,-4.02,6.57
2024-12-06 13:22:50.447,1.8,522.0,0.26,0.98,-0.01,-3.93,-5.48,5.96
2024-12-06 13:22:50.453,-0.9,533.0,0.26,0.98,-0.02,-3.32,-6.1,5.6
2024-12-06 13:22:50.465,0.45,516.0,0.26,0.98,-0.02,-3.14,-7.32,5.17
2024-12-06 13:22:50.472,-0.45,527.0,0.25,0.99,-0.01,-3.14,-8.66,4.62
2024-12-06 13:22:50.478,0.0,518.0,0.24,0.98,-0.03,-2.83,-9.45,3.89
2024-12-06 13:22:50.486,-4.28,521.0,0.23,0.98,-0.0,-2.47,-9.94,3.34
2024-12-06 13:22:50.494,2.7,521.0,0.22,0.97,-0.01,-2.47,-9.94,3.34
2024-12-06 13:22:50.503,1.8,520.0,0.21,0.96,-0.02,-2.4,-9.64,2.85
2024-12-06 13:22:50.510,1.12,525.0,0.21,0.94,-0.02,-2.1,-8.66,2.55
2024-12-06 13:22:50.518,1.8,509.0,0.2,0.94,-0.02,-1.73,-6.71,2.61
2024-12-06 13:22:50.526,3.15,521.0,0.2,0.94,-0.02,-1.43,-5.3,3.28
2024-12-06 13:22:50.532,2.02,520.0,0.21,0.94,-0.01,-1.12,-4.2,4.38
2024-12-06 13:22:50.542,0.45,528.0,0.22,0.95,-0.02,-1.12,-4.2,4.38
2024-12-06 13:22:50.549,-2.47,529.0,0.23,0.97,-0.02,-0.88,-2.68,5.84
2024-12-06 13:22:50.556,1.35,516.0,0.24,0.98,-0.02,-0.82,-2.13,7.25
2024-12-06 13:22:50.564,0.9,537.0,0.24,0.99,-0.02,-1.18,-1.82,8.28
2024-12-06 13:22:50.572,0.67,525.0,0.24,0.99,-0.02,-1.49,-1.82,9.08
2024-12-06 13:22:50.585,-0.9,527.0,0.25,0.99,-0.02,-1.85,-2.8,9.75
2024-12-06 13:22:50.596,-0.9,542.0,0.25,0.98,-0.01,-1.85,-2.8,10.18
2024-12-06 13:22:50.631,0.45,507.0,0.25,0.94,-0.01,-2.53,-4.2,10.54
2024-12-06 13:22:50.662,2.92,513.0,0.26,0.95,0.01,-3.2,-3.78,10.54
2024-12-06 13:22:50.665,0.0,517.0,0.26,0.95,0.0,-3.2,-3.78,10.54
2024-12-06 13:22:50.677,1.12,515.0,0.27,0.95,0.0,-3.32,-3.71,11.03
2024-12-06 13:22:50.680,4.28,508.0,0.27,0.95,0.01,-3.38,-3.29,11.58
2024-12-06 13:22:50.687,-1.57,523.0,0.27,0.94,0.01,-3.56,-3.04,11.88
2024-12-06 13:22:50.696,2.02,521.0,0.27,0.94,0.01,-4.11,-2.86,12.01
2024-12-06 13:22:50.703,1.8,549.0,0.27,0.94,0.01,-4.66,-1.82,12.25
2024-12-06 13:22:50.713,-0.67,519.0,0.27,0.94,0.01,-4.66,-1.82,12.98
2024-12-06 13:22:50.719,0.67,497.0,0.28,0.95,0.0,-4.85,-0.42,12.98
2024-12-06 13:22:50.735,-1.8,514.0,0.28,0.96,0.0,-5.03,1.05,13.9
2024-12-06 13:22:50.740,-1.8,531.0,0.28,0.96,-0.01,-5.33,2.39,14.69
2024-12-06 13:22:50.744,-0.45,552.0,0.28,0.96,-0.01,-5.39,4.46,15.24
2024-12-06 13:22:50.751,1.35,519.0,0.27,0.96,-0.01,-5.39,5.68,15.36
2024-12-06 13:22:50.758,2.47,519.0,0.25,0.96,0.01,-5.39,5.68,15.36
2024-12-06 13:22:50.767,-1.35,530.0,0.23,0.95,0.02,-5.27,4.83,14.94
2024-12-06 13:22:50.774,2.25,515.0,0.22,0.94,0.02,-4.91,2.94,13.41
2024-12-06 13:22:50.782,1.57,536.0,0.22,0.94,0.02,-4.66,2.82,11.03
2024-12-06 13:22:50.790,-0.67,528.0,0.23,0.94,0.02,-4.24,1.9,8.28
2024-12-06 13:22:50.803,5.17,523.0,0.23,0.94,0.02,-3.69,1.23,5.41
2024-12-06 13:22:50.807,5.62,524.0,0.25,0.94,0.01,-3.69,1.23,3.22
2024-12-06 13:22:50.816,4.95,532.0,0.27,0.94,0.01,-3.01,2.33,3.22
